Date,Team,Opposition,Ground,10-Runs,10-Wkts,50-Runs,50-Wkts,Result,Above-300
15-Feb-15,India,v Pakistan,Adelaide,42,1,300,7,1,1
15-Feb-15,South Africa,v Zimbabwe,Hamilton,28,2,339,4,1,1
14-Feb-15,Australia,v England,Melbourne,66,2,342,9,1,1
14-Feb-15,New Zealand,v Sri Lanka,Christchurch,77,0,331,6,1,1
3-Feb-15,New Zealand,v Pakistan,Napier,48,1,369,5,1,1
1-Feb-15,Australia,v England,Perth,42,2,278,8,1,0
31-Jan-15,Pakistan,v New Zealand,Wellington,30,2,210,10,0,0
30-Jan-15,India,v England,Perth,34,0,200,10,0,0
29-Jan-15,Sri Lanka,v New Zealand,Wellington,42,0,287,6,1,0
28-Jan-15,South Africa,v West Indies,Centurion,48,1,361,5,1,1
25-Jan-15,South Africa,v West Indies,Port Elizabeth,49,3,262,8,0,0
25-Jan-15,New Zealand,v Sri Lanka,Dunedin,39,1,315,8,1,1
23-Jan-15,England,v Australia,Hobart,69,0,303,8,0,1
23-Jan-15,New Zealand,v Sri Lanka,Dunedin,50,1,360,5,1,1
21-Jan-15,West Indies,v South Africa,East London,37,3,122,10,0,0
20-Jan-15,India,v England,Brisbane,36,1,153,10,0,0
20-Jan-15,Sri Lanka,v New Zealand,Nelson,46,1,276,10,0,0
18-Jan-15,South Africa,v West Indies,Johannesburg,51,0,439,2,1,1
18-Jan-15,India,v Australia,Melbourne,45,2,267,8,0,0
17-Jan-15,Afghanistan,v Ireland,Dubai (DSC),45,2,246,8,1,0
16-Jan-15,South Africa,v West Indies,Durban,59,2,279,8,1,0
16-Jan-15,England,v Australia,Sydney,39,4,234,10,0,0
15-Jan-15,New Zealand,v Sri Lanka,Hamilton,50,1,248,10,0,0
14-Jan-15,Scotland,v Afghanistan,Abu Dhabi,25,2,213,7,1,0
12-Jan-15,Scotland,v Ireland,Dubai (DSC),41,3,216,9,0,0
11-Jan-15,Sri Lanka,v New Zealand,Christchurch,26,2,218,9,0,0
10-Jan-15,Afghanistan,v Ireland,Dubai (DSC),48,2,180,10,0,0
8-Jan-15,Scotland,v Afghanistan,ICCA Dubai,42,1,237,8,0,0
19-Dec-14,New Zealand,v Pakistan,Abu Dhabi,43,1,275,4,1,0
17-Dec-14,New Zealand,v Pakistan,Abu Dhabi,51,0,299,5,1,0
16-Dec-14,Sri Lanka,v England,Colombo (RPS),66,1,302,6,1,1
14-Dec-14,Pakistan,v New Zealand,Sharjah,65,1,364,7,1,1
13-Dec-14,Sri Lanka,v England,Pallekele,27,1,292,7,1,0
12-Dec-14,Pakistan,v New Zealand,Sharjah,47,3,252,10,0,0
10-Dec-14,Sri Lanka,v England,Pallekele,55,2,239,10,0,0
8-Dec-14,New Zealand,v Pakistan,Dubai (DSC),44,2,246,7,0,0
7-Dec-14,England,v Sri Lanka,Colombo (RPS),46,2,265,10,0,0
4-Dec-14,U.A.E.,v Afghanistan,ICCA Dubai,51,1,258,9,1,0
3-Dec-14,Sri Lanka,v England,Hambantota,35,3,242,8,0,0
2-Dec-14,U.A.E.,v Afghanistan,ICCA Dubai,58,0,273,5,0,0
1-Dec-14,Zimbabwe,v Bangladesh,Dhaka,60,1,128,10,0,0
30-Nov-14,Afghanistan,v U.A.E.,ICCA Dubai,35,1,280,8,0,0
29-Nov-14,England,v Sri Lanka,Colombo (RPS),37,2,185,10,0,0
28-Nov-14,Afghanistan,v U.A.E.,ICCA Dubai,26,0,248,6,0,0
28-Nov-14,Bangladesh,v Zimbabwe,Dhaka,30,1,256,8,1,0
26-Nov-14,Sri Lanka,v England,Colombo (RPS),57,0,317,6,1,1
26-Nov-14,Bangladesh,v Zimbabwe,Dhaka,40,0,297,6,1,0
23-Nov-14,Bangladesh,v Zimbabwe,Chittagong,42,0,251,7,1,0
23-Nov-14,South Africa,v Australia,Sydney,51,0,280,6,0,0
21-Nov-14,Bangladesh,v Zimbabwe,Chittagong,27,2,281,7,1,0
21-Nov-14,South Africa,v Australia,Melbourne,42,1,267,8,0,0
19-Nov-14,Australia,v South Africa,Canberra,52,0,329,5,1,1
16-Nov-14,Sri Lanka,v India,Ranchi,52,2,286,8,0,0
16-Nov-14,Australia,v South Africa,Perth,27,2,154,10,0,0
14-Nov-14,Australia,v South Africa,Perth,60,0,300,8,1,1
13-Nov-14,India,v Sri Lanka,Kolkata,46,1,404,5,1,1
9-Nov-14,Sri Lanka,v India,Hyderabad (Deccan),40,2,242,10,0,0
9-Nov-14,Hong Kong,v P.N.G.,Townsville,49,1,261,10,0,0
8-Nov-14,Hong Kong,v P.N.G.,Townsville,42,2,202,10,0,0
6-Nov-14,Sri Lanka,v India,Ahmedabad,53,1,274,8,0,0
2-Nov-14,India,v Sri Lanka,Cuttack,43,0,363,5,1,1
24-Oct-14,South Africa,v New Zealand,Mount Maunganui,41,0,282,9,1,0
21-Oct-14,New Zealand,v South Africa,Mount Maunganui,35,2,230,10,0,0
17-Oct-14,India,v West Indies,Dharamsala,65,0,330,6,1,1
12-Oct-14,Australia,v Pakistan,Abu Dhabi,48,0,231,9,1,0
11-Oct-14,India,v West Indies,Delhi,37,1,263,7,1,0
10-Oct-14,Pakistan,v Australia,Dubai (DSC),45,0,215,10,0,0
8-Oct-14,West Indies,v India,Kochi,52,1,321,6,1,1
7-Oct-14,Australia,v Pakistan,Sharjah,37,1,255,8,1,0
12-Sep-14,Ireland,v Scotland,Dublin (Malahide),23,1,241,9,0,0
10-Sep-14,Scotland,v Ireland,Dublin (Malahide),39,3,221,10,0,0
8-Sep-14,Scotland,v Ireland,Dublin (Malahide),51,1,172,10,0,0
6-Sep-14,Australia,v South Africa,Harare,52,2,217,9,0,0
5-Sep-14,England,v India,Leeds,49,2,294,7,1,0
4-Sep-14,South Africa,v Zimbabwe,Harare,38,2,271,6,1,0
2-Sep-14,England,v India,Birmingham,25,3,206,10,0,0
2-Sep-14,Australia,v South Africa,Harare,43,0,282,7,1,0
31-Aug-14,Australia,v Zimbabwe,Harare,30,1,209,9,0,0
30-Aug-14,England,v India,Nottingham,48,0,227,10,0,0
30-Aug-14,Pakistan,v Sri Lanka,Dambulla,19,3,102,10,0,0
29-Aug-14,South Africa,v Zimbabwe,Harare,53,0,231,10,1,0
27-Aug-14,India,v England,Cardiff,26,2,304,6,1,1
27-Aug-14,Australia,v South Africa,Harare,62,0,327,7,0,1
26-Aug-14,Sri Lanka,v Pakistan,Hambantota,58,2,310,9,1,1
25-Aug-14,West Indies,v Bangladesh,Basseterre,30,2,338,7,1,1
25-Aug-14,Australia,v Zimbabwe,Harare,46,0,350,6,1,1
23-Aug-14,Sri Lanka,v Pakistan,Hambantota,36,1,275,7,0,0
22-Aug-14,West Indies,v Bangladesh,St George's,38,1,247,7,1,0
21-Aug-14,Zimbabwe,v South Africa,Bulawayo,50,2,165,10,0,0
20-Aug-14,Bangladesh,v West Indies,St George's,35,0,217,9,0,0
19-Aug-14,South Africa,v Zimbabwe,Bulawayo,56,1,257,10,1,0
17-Aug-14,South Africa,v Zimbabwe,Bulawayo,60,0,309,3,1,1
24-Jul-14,Afghanistan,v Zimbabwe,Bulawayo,41,2,259,10,1,0
22-Jul-14,Zimbabwe,v Afghanistan,Bulawayo,37,1,261,8,0,0
20-Jul-14,Afghanistan,v Zimbabwe,Bulawayo,38,1,256,7,0,0
18-Jul-14,Afghanistan,v Zimbabwe,Bulawayo,24,1,223,9,0,0
12-Jul-14,South Africa,v Sri Lanka,Hambantota,64,0,339,5,1,1
9-Jul-14,Sri Lanka,v South Africa,Pallekele,66,2,267,10,1,0
6-Jul-14,South Africa,v Sri Lanka,Colombo (RPS),46,0,304,5,1,1
17-Jun-14,India,v Bangladesh,Dhaka,26,2,105,10,1,0
15-Jun-14,Bangladesh,v India,Dhaka,34,1,272,9,0,0
3-Jun-14,England,v Sri Lanka,Birmingham,46,0,219,10,0,0
31-May-14,Sri Lanka,v England,Lord's,45,1,300,9,1,1
28-May-14,Sri Lanka,v England,Manchester,28,2,67,10,0,0
25-May-14,Sri Lanka,v England,Chester-le-Street,34,1,256,8,1,0
22-May-14,England,v Sri Lanka,The Oval,39,1,247,6,1,0
6-May-14,Sri Lanka,v Ireland,Dublin,28,2,219,8,1,0
